log_file,Device,second,r/s,rkB/s,rrqm/s,%rrqm,r_await,rareq-sz,w/s,wkB/s,wrqm/s,%wrqm,w_await,wareq-sz,d/s,dkB/s,drqm/s,%drqm,d_await,dareq-sz,f/s,f_await,aqu-sz,%util
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdb,1,10.0,124.0,21.0,67.74,0.9,12.4,2.0,8.0,0.0,0.0,1.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,9.0
io1.log,sdc,2,523.0,9564.0,0.0,0.0,1.36,18.29,1056.0,41028.0,923.0,46.64,1.83,38.85,82.0,103384.0,28.0,25.45,0.32,1260.78,513.0,2.61,4.01,99.0
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdb,1,6.0,84.0,15.0,71.43,1.0,14.0,1.0,12.0,2.0,66.67,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,5.0
io1.log,sdc,2,455.0,8988.0,0.0,0.0,1.44,19.75,1151.0,40868.0,939.0,44.93,1.66,35.51,92.0,111912.0,30.0,24.59,0.38,1216.43,509.0,2.44,3.85,101.0
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdb,1,7.0,64.0,9.0,56.25,0.86,9.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,5.0
io1.log,sdc,2,473.0,8616.0,0.0,0.0,1.46,18.22,1137.0,43924.0,768.0,40.31,1.64,38.63,29.0,33512.0,9.0,23.68,0.34,1155.59,530.0,2.43,3.86,100.0
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdb,1,4.0,36.0,5.0,55.56,0.75,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
io1.log,sdc,2,612.0,11304.0,0.0,0.0,1.4,18.47,1228.0,43008.0,662.0,35.03,1.54,35.02,0.0,0.0,0.0,0.0,0.0,0.0,545.0,2.48,4.09,100.0
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdb,1,7.0,92.0,16.0,69.57,1.29,13.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,4.0
io1.log,sdc,2,591.0,11136.0,0.0,0.0,1.55,18.84,1143.0,39048.0,628.0,35.46,1.6,34.16,0.0,0.0,0.0,0.0,0.0,0.0,520.0,2.47,4.03,100.0
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdb,1,55.0,304.0,21.0,27.63,0.67,5.53,1.0,4.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,8.0
io1.log,sdc,2,545.0,9716.0,0.0,0.0,1.42,17.83,1081.0,38364.0,601.0,35.73,1.77,35.49,0.0,0.0,0.0,0.0,0.0,0.0,520.0,2.55,4.01,99.0
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdb,1,1.0,20.0,4.0,80.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
io1.log,sdc,2,585.0,10460.0,0.0,0.0,1.41,17.88,1106.0,37736.0,651.0,37.05,1.67,34.12,0.0,0.0,0.0,0.0,0.0,0.0,504.0,2.53,3.94,100.0
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdb,1,5.0,76.0,14.0,73.68,1.2,15.2,1.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,4.0
io1.log,sdc,2,524.0,9468.0,0.0,0.0,1.45,18.07,1090.0,37860.0,625.0,36.44,1.69,34.73,0.0,0.0,0.0,0.0,0.0,0.0,500.0,2.5,3.86,101.0
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdb,1,5.0,40.0,5.0,50.0,1.8,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,3.0
io1.log,sdc,2,562.0,10144.0,0.0,0.0,1.32,18.05,1083.0,43172.0,609.0,35.99,1.71,39.86,0.0,0.0,0.0,0.0,0.0,0.0,499.0,2.63,3.91,100.0
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdb,1,9.0,64.0,7.0,43.75,0.56,7.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,6.0
